Size(A)  Probability_real    Probability_expected
11.9125  0  9.82021e-07
11.9375  0  9.52213e-07
11.9625  0  9.23336e-07
11.9875  0  8.9536e-07
12.0125  0  8.68257e-07
12.0375  0  8.41998e-07
12.0625  0  8.16557e-07
12.0875  0  7.91907e-07
12.1125  0  7.68024e-07
12.1375  0  7.44881e-07
12.1625  0  7.22456e-07
12.1875  0  7.00727e-07
12.2125  0  6.7967e-07
12.2375  0  6.59264e-07
12.2625  0  6.3949e-07
12.2875  0  6.20325e-07
12.3125  0  6.01752e-07
12.3375  0  5.83752e-07
12.3625  0  5.66305e-07
12.3875  0  5.49396e-07
12.4125  0  5.33006e-07
12.4375  0  5.1712e-07
12.4625  0  5.01721e-07
12.4875  0  4.86794e-07
12.5125  0  4.72324e-07
12.5375  0  4.58297e-07
12.5625  0  4.44699e-07
12.5875  0  4.31517e-07
12.6125  0  4.18736e-07
12.6375  0  4.06346e-07
12.6625  0  3.94332e-07
12.6875  0  3.82685e-07
12.7125  0  3.71392e-07
12.7375  0  3.60441e-07
12.7625  0  3.49824e-07
12.7875  0  3.39528e-07
12.8125  0  3.29544e-07
12.8375  0  3.19862e-07
12.8625  0  3.10474e-07
12.8875  0  3.01369e-07
12.9125  0  2.92538e-07
12.9375  0  2.83975e-07
12.9625  0  2.75669e-07
12.9875  0  2.67614e-07
13.0125  0  2.598e-07
13.0375  0  2.52222e-07
13.0625  0  2.44871e-07
13.0875  0  2.37741e-07
13.1125  0  2.30825e-07
13.1375  0  2.24116e-07
13.1625  0  2.17607e-07
13.1875  0  2.11294e-07
13.2125  0  2.05168e-07
13.2375  0  1.99226e-07
13.2625  0  1.93461e-07
13.2875  0  1.87868e-07
13.3125  0  1.82441e-07
13.3375  0  1.77175e-07
13.3625  0  1.72066e-07
13.3875  0  1.67109e-07
13.4125  0  1.62299e-07
13.4375  0  1.57631e-07
13.4625  0  1.53102e-07
13.4875  0  1.48706e-07
13.5125  0  1.44441e-07
13.5375  0  1.40301e-07
13.5625  0  1.36284e-07
13.5875  0  1.32385e-07
13.6125  0  1.28601e-07
13.6375  0  1.24928e-07
13.6625  0  1.21364e-07
13.6875  0  1.17904e-07
13.7125  0  1.14545e-07
13.7375  0  1.11285e-07
13.7625  0  1.08121e-07
13.7875  0  1.05049e-07
13.8125  0  1.02068e-07
13.8375  0  9.91729e-08
13.8625  0  9.63628e-08
13.8875  0  9.36346e-08
13.9125  0  9.0986e-08
13.9375  0  8.84145e-08
13.9625  0  8.59179e-08
13.9875  0  8.34938e-08
14.0125  0  8.11402e-08
14.0375  0  7.88549e-08
14.0625  0  7.66359e-08
14.0875  0  7.44811e-08
14.1125  0  7.23888e-08
14.1375  0  7.0357e-08
14.1625  0  6.83839e-08
14.1875  0  6.64678e-08
14.2125  0  6.46069e-08
14.2375  0  6.27998e-08
14.2625  0  6.10446e-08
14.2875  0  5.934e-08
14.3125  0  5.76844e-08
14.3375  0  5.60764e-08
14.3625  0  5.45145e-08
14.3875  0  5.29974e-08
14.4125  0  5.15238e-08
14.4375  0  5.00924e-08
14.4625  0  4.8702e-08
14.4875  0  4.73512e-08
14.5125  0  4.60391e-08
14.5375  0  4.47644e-08
14.5625  0  4.3526e-08
14.5875  0  4.2323e-08
14.6125  0  4.11541e-08
14.6375  0  4.00185e-08
14.6625  0  3.89152e-08
14.6875  0  3.78432e-08
14.7125  0  3.68016e-08
14.7375  0  3.57895e-08
14.7625  0  3.48061e-08
14.7875  0  3.38505e-08
14.8125  0  3.2922e-08
14.8375  0  3.20196e-08
14.8625  0  3.11427e-08
14.8875  0  3.02906e-08
14.9125  0  2.94625e-08
14.9375  0  2.86576e-08
14.9625  0  2.78755e-08
14.9875  0  2.71153e-08
15.0125  0  2.63764e-08
15.0375  0  2.56583e-08
15.0625  0  2.49603e-08
15.0875  0  2.42819e-08
15.1125  0  2.36224e-08
15.1375  0  2.29814e-08
15.1625  0  2.23584e-08
15.1875  0  2.17527e-08
15.2125  0  2.11639e-08
15.2375  0  2.05915e-08
15.2625  0  2.0035e-08
15.2875  0  1.94941e-08
15.3125  0  1.89682e-08
15.3375  0  1.84568e-08
15.3625  0  1.79597e-08
15.3875  0  1.74764e-08
15.4125  0  1.70065e-08
15.4375  0  1.65496e-08
15.4625  0  1.61053e-08
15.4875  0  1.56733e-08
15.5125  0  1.52532e-08
15.5375  0  1.48447e-08
15.5625  0  1.44475e-08
15.5875  0  1.40613e-08
15.6125  0  1.36856e-08
15.6375  0  1.33203e-08
15.6625  0  1.29651e-08
15.6875  0  1.26196e-08
15.7125  0  1.22836e-08
15.7375  0  1.19568e-08
15.7625  0  1.16389e-08
