Size(A)  Probability_real    Probability_expected
10.3375  0  9.04664e-10
10.3625  0  8.65244e-10
10.3875  0  8.2759e-10
10.4125  0  7.91623e-10
10.4375  0  7.57264e-10
10.4625  0  7.24439e-10
10.4875  0  6.93078e-10
10.5125  0  6.63114e-10
10.5375  0  6.34483e-10
10.5625  0  6.07123e-10
10.5875  0  5.80978e-10
10.6125  0  5.5599e-10
10.6375  0  5.32109e-10
10.6625  0  5.09282e-10
10.6875  0  4.87463e-10
10.7125  0  4.66606e-10
10.7375  0  4.46667e-10
10.7625  0  4.27604e-10
10.7875  0  4.09379e-10
10.8125  0  3.91952e-10
10.8375  0  3.75289e-10
10.8625  0  3.59355e-10
10.8875  0  3.44116e-10
10.9125  0  3.29543e-10
10.9375  0  3.15604e-10
10.9625  0  3.02272e-10
10.9875  0  2.89519e-10
11.0125  0  2.7732e-10
11.0375  0  2.65649e-10
11.0625  0  2.54484e-10
11.0875  0  2.43801e-10
11.1125  0  2.3358e-10
11.1375  0  2.238e-10
11.1625  0  2.14441e-10
11.1875  0  2.05484e-10
11.2125  0  1.96912e-10
11.2375  0  1.88709e-10
11.2625  0  1.80856e-10
11.2875  0  1.7334e-10
11.3125  0  1.66145e-10
11.3375  0  1.59258e-10
11.3625  0  1.52664e-10
11.3875  0  1.46351e-10
11.4125  0  1.40306e-10
11.4375  0  1.34518e-10
11.4625  0  1.28976e-10
11.4875  0  1.23669e-10
11.5125  0  1.18586e-10
11.5375  0  1.13719e-10
11.5625  0  1.09056e-10
11.5875  0  1.04591e-10
11.6125  0  1.00313e-10
11.6375  0  9.62156e-11
11.6625  0  9.22902e-11
11.6875  0  8.85295e-11
11.7125  0  8.49264e-11
11.7375  0  8.14742e-11
11.7625  0  7.81663e-11
11.7875  0  7.49965e-11
11.8125  0  7.1959e-11
11.8375  0  6.9048e-11
11.8625  0  6.62581e-11
11.8875  0  6.35841e-11
11.9125  0  6.10212e-11
11.9375  0  5.85645e-11
11.9625  0  5.62095e-11
11.9875  0  5.3952e-11
12.0125  0  5.17877e-11
12.0375  0  4.97127e-11
12.0625  0  4.77231e-11
12.0875  0  4.58155e-11
12.1125  0  4.39864e-11
12.1375  0  4.22323e-11
12.1625  0  4.05501e-11
12.1875  0  3.89369e-11
12.2125  0  3.73897e-11
12.2375  0  3.59057e-11
12.2625  0  3.44823e-11
12.2875  0  3.31169e-11
12.3125  0  3.18071e-11
12.3375  0  3.05506e-11
12.3625  0  2.93452e-11
12.3875  0  2.81887e-11
12.4125  0  2.7079e-11
12.4375  0  2.60143e-11
12.4625  0  2.49926e-11
12.4875  0  2.40122e-11
12.5125  0  2.30713e-11
12.5375  0  2.21683e-11
12.5625  0  2.13017e-11
12.5875  0  2.047e-11
12.6125  0  1.96716e-11
12.6375  0  1.89053e-11
12.6625  0  1.81696e-11
12.6875  0  1.74634e-11
12.7125  0  1.67854e-11
12.7375  0  1.61345e-11
12.7625  0  1.55095e-11
12.7875  0  1.49095e-11
12.8125  0  1.43333e-11
12.8375  0  1.378e-11
12.8625  0  1.32487e-11
12.8875  0  1.27384e-11
12.9125  0  1.22484e-11
12.9375  0  1.17777e-11
12.9625  0  1.13256e-11
12.9875  0  1.08914e-11
13.0125  0  1.04743e-11
13.0375  0  1.00736e-11
13.0625  0  9.68869e-12
13.0875  0  9.3189e-12
13.1125  0  8.96362e-12
13.1375  0  8.62226e-12
13.1625  0  8.29427e-12
13.1875  0  7.97911e-12
13.2125  0  7.67627e-12
13.2375  0  7.38524e-12
13.2625  0  7.10556e-12
13.2875  0  6.83677e-12
13.3125  0  6.57843e-12
13.3375  0  6.33013e-12
13.3625  0  6.09147e-12
13.3875  0  5.86206e-12
13.4125  0  5.64153e-12
13.4375  0  5.42953e-12
13.4625  0  5.22573e-12
13.4875  0  5.02979e-12
13.5125  0  4.8414e-12
13.5375  0  4.66027e-12
13.5625  0  4.4861e-12
13.5875  0  4.31863e-12
13.6125  0  4.15759e-12
13.6375  0  4.00272e-12
13.6625  0  3.85378e-12
13.6875  0  3.71054e-12
13.7125  0  3.57277e-12
13.7375  0  3.44026e-12
13.7625  0  3.3128e-12
13.7875  0  3.1902e-12
13.8125  0  3.07227e-12
13.8375  0  2.95881e-12
13.8625  0  2.84967e-12
13.8875  0  2.74466e-12
13.9125  0  2.64363e-12
13.9375  0  2.54643e-12
13.9625  0  2.45289e-12
13.9875  0  2.36289e-12
14.0125  0  2.27629e-12
14.0375  0  2.19295e-12
14.0625  0  2.11274e-12
14.0875  0  2.03556e-12
14.1125  0  1.96127e-12
14.1375  0  1.88976e-12
14.1625  0  1.82094e-12
14.1875  0  1.75469e-12
14.2125  0  1.69093e-12
14.2375  0  1.62954e-12
14.2625  0  1.57044e-12
14.2875  0  1.51355e-12
14.3125  0  1.45878e-12
14.3375  0  1.40604e-12
14.3625  0  1.35527e-12
14.3875  0  1.30638e-12
14.4125  0  1.2593e-12
14.4375  0  1.21396e-12
14.4625  0  1.17031e-12
14.4875  0  1.12827e-12
14.5125  0  1.08777e-12
14.5375  0  1.04878e-12
14.5625  0  1.01122e-12
14.5875  0  9.75042e-13
14.6125  0  9.40196e-13
14.6375  0  9.0663e-13
14.6625  0  8.74295e-13
14.6875  0  8.43146e-13
14.7125  0  8.13138e-13
14.7375  0  7.84227e-13
14.7625  0  7.56373e-13
14.7875  0  7.29536e-13
14.8125  0  7.03678e-13
14.8375  0  6.78762e-13
14.8625  0  6.54752e-13
14.8875  0  6.31616e-13
14.9125  0  6.09319e-13
14.9375  0  5.87832e-13
14.9625  0  5.67124e-13
14.9875  0  5.47165e-13
15.0125  0  5.27929e-13
15.0375  0  5.09387e-13
15.0625  0  4.91515e-13
15.0875  0  4.74287e-13
15.1125  0  4.5768e-13
15.1375  0  4.41671e-13
15.1625  0  4.26237e-13
15.1875  0  4.11357e-13
15.2125  0  3.97011e-13
15.2375  0  3.8318e-13
15.2625  0  3.69844e-13
15.2875  0  3.56984e-13
15.3125  0  3.44585e-13
15.3375  0  3.32628e-13
15.3625  0  3.21097e-13
15.3875  0  3.09977e-13
15.4125  0  2.99253e-13
