Size(A)  Probability_real    Probability_expected
9.6625  0  8.94589e-11
9.6875  0  8.5057e-11
9.7125  0  8.08779e-11
9.7375  0  7.69099e-11
9.7625  0  7.31421e-11
9.7875  0  6.95641e-11
9.8125  0  6.6166e-11
9.8375  0  6.29387e-11
9.8625  0  5.98732e-11
9.8875  0  5.69612e-11
9.9125  0  5.41949e-11
9.9375  0  5.15667e-11
9.9625  0  4.90695e-11
9.9875  0  4.66967e-11
10.0125  0  4.44419e-11
10.0375  0  4.2299e-11
10.0625  0  4.02624e-11
10.0875  0  3.83265e-11
10.1125  0  3.64864e-11
10.1375  0  3.47371e-11
10.1625  0  3.30741e-11
10.1875  0  3.14929e-11
10.2125  0  2.99894e-11
10.2375  0  2.85597e-11
10.2625  0  2.72001e-11
10.2875  0  2.59071e-11
10.3125  0  2.46772e-11
10.3375  0  2.35074e-11
10.3625  0  2.23945e-11
10.3875  0  2.13359e-11
10.4125  0  2.03287e-11
10.4375  0  1.93704e-11
10.4625  0  1.84585e-11
10.4875  0  1.75907e-11
10.5125  0  1.67649e-11
10.5375  0  1.5979e-11
10.5625  0  1.52309e-11
10.5875  0  1.45189e-11
10.6125  0  1.3841e-11
10.6375  0  1.31957e-11
10.6625  0  1.25813e-11
10.6875  0  1.19964e-11
10.7125  0  1.14393e-11
10.7375  0  1.09089e-11
10.7625  0  1.04038e-11
10.7875  0  9.92269e-12
10.8125  0  9.46446e-12
10.8375  0  9.02799e-12
10.8625  0  8.61221e-12
10.8875  0  8.21611e-12
10.9125  0  7.83875e-12
10.9375  0  7.47919e-12
10.9625  0  7.1366e-12
10.9875  0  6.81013e-12
11.0125  0  6.49901e-12
11.0375  0  6.20251e-12
11.0625  0  5.91991e-12
11.0875  0  5.65054e-12
11.1125  0  5.39378e-12
11.1375  0  5.14901e-12
11.1625  0  4.91565e-12
11.1875  0  4.69317e-12
11.2125  0  4.48103e-12
11.2375  0  4.27876e-12
11.2625  0  4.08586e-12
11.2875  0  3.90191e-12
11.3125  0  3.72647e-12
11.3375  0  3.55914e-12
11.3625  0  3.39953e-12
11.3875  0  3.24727e-12
11.4125  0  3.10203e-12
11.4375  0  2.96346e-12
11.4625  0  2.83126e-12
11.4875  0  2.70511e-12
11.5125  0  2.58475e-12
11.5375  0  2.46988e-12
11.5625  0  2.36027e-12
11.5875  0  2.25565e-12
11.6125  0  2.1558e-12
11.6375  0  2.06049e-12
11.6625  0  1.96952e-12
11.6875  0  1.88267e-12
11.7125  0  1.79976e-12
11.7375  0  1.7206e-12
11.7625  0  1.64502e-12
11.7875  0  1.57285e-12
11.8125  0  1.50393e-12
11.8375  0  1.43812e-12
11.8625  0  1.37527e-12
11.8875  0  1.31524e-12
11.9125  0  1.2579e-12
11.9375  0  1.20313e-12
11.9625  0  1.15082e-12
11.9875  0  1.10084e-12
12.0125  0  1.05309e-12
12.0375  0  1.00747e-12
12.0625  0  9.63879e-13
12.0875  0  9.22227e-13
12.1125  0  8.82426e-13
12.1375  0  8.44389e-13
12.1625  0  8.08038e-13
12.1875  0  7.73295e-13
12.2125  0  7.40086e-13
12.2375  0  7.08343e-13
12.2625  0  6.78e-13
12.2875  0  6.48992e-13
12.3125  0  6.21259e-13
12.3375  0  5.94744e-13
12.3625  0  5.69392e-13
12.3875  0  5.45151e-13
12.4125  0  5.21969e-13
12.4375  0  4.99801e-13
12.4625  0  4.786e-13
12.4875  0  4.58324e-13
12.5125  0  4.3893e-13
12.5375  0  4.20379e-13
12.5625  0  4.02634e-13
12.5875  0  3.85658e-13
12.6125  0  3.69418e-13
